0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:43:42 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:47:23 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:48:20 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:48:45 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:05:45 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:05:57 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:06:11 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:08:19 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:09:20 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:09:57 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:10:46 +0900] "GET /setp01_HTMLCS/HTML/ex04_ul_ol.html HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:35:31 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:37:12 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:37:17 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:39:48 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:42:47 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:43:08 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:43:20 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:44:12 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:44:36 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:38 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:14:49:39 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:12:59 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:14:46 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:20:57 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:23:03 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 569
